statement_code,statement_name,tag,aggregation_level,rank_within_statement,restatements,revisable_groups,restating_companies,distinct_tags,pct_of_revisable_restated,pct_restatements_downward,median_abs_pct_revision,includes_custom_tag,placement_is_ambiguous
UN,unclassified,TotalExpensesAndProfitShareAllocation,tag,7,37,51,1,1,72.549,100.00,0.1588,t,f
UN,unclassified,InvestmentIncomeOperatingAfterExpenseAndTax,tag,8,34,1709,12,1,1.989,17.65,0.0209,f,t
UN,unclassified,AssetsNet,tag,9,33,1954,15,1,1.689,45.45,1.0000,f,f
SI,supplementary information,DerivativeAssetFairValueGrossLiability,tag,14,26,275,3,1,9.455,7.69,2.0000,f,t
UN,unclassified,NetInvestmentIncomeLossPerUnit,tag,10,25,81,1,1,30.864,0.00,0.1803,t,f
UN,unclassified,TradingGainsLossesPerUnit,tag,11,25,29,1,1,86.207,100.00,0.0240,t,f
UN,unclassified,RealizedGainLossInvestmentDerivativeAndForeignCurrencyTransactionPriceChangeOperatingBeforeTax,tag,12,24,609,2,1,3.941,16.67,0.0116,f,f
SI,supplementary information,DerivativeNotionalAmount,tag,15,24,551,5,1,4.356,25.00,999.0000,f,f
UN,unclassified,DeferredCreditsAndOtherLiabilities,tag,13,19,188,6,1,10.106,73.68,0.1274,f,t
UN,unclassified,IncreaseDecreaseInNetAssetsValue,tag,14,19,40,1,1,47.500,5.26,2.0000,t,f
UN,unclassified,InvestmentCompanyTaxReturnOfCapitalDistribution,tag,15,17,133,5,1,12.782,5.88,2.0000,f,f
